날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022-12-31,45,28,30,46,34,32,27,48,36,45,42,36,23,33,26,24,41
2022-12-30,38,36,39,41,42,34,31,41,32,42,40,43,35,36,34,41,42
2022-12-29,31,25,30,35,30,34,26,37,26,40,41,36,25,30,24,26,40
2022-12-28,34,40,47,37,37,40,39,40,35,50,43,43,31,41,36,40,49
2022-12-27,49,28,31,47,29,42,28,55,47,62,49,42,22,33,25,23,55
2022-12-26,47,23,28,36,26,33,27,49,47,53,38,36,19,33,24,22,44
2022-12-25,40,16,24,37,27,33,19,43,33,46,40,37,20,29,19,19,42
2022-12-24,29,21,21,27,20,27,20,31,23,31,31,27,16,24,18,14,32
2022-12-23,20,20,19,19,11,20,27,19,20,21,20,15,14,27,16,14,22
2022-12-22,29,31,31,28,22,34,32,28,29,33,29,25,21,32,23,20,36
2022-12-21,44,32,51,47,43,31,30,44,36,41,44,39,35,36,33,34,43
2022-12-20,31,39,40,33,38,37,35,35,26,41,40,42,35,32,37,38,45
2022-12-19,22,26,32,24,26,28,26,26,21,31,31,29,21,27,25,30,34
2022-12-18,19,14,16,21,16,22,17,20,16,24,25,22,13,19,14,16,27
2022-12-17,24,16,23,22,18,26,22,24,22,30,24,22,15,24,15,17,27
2022-12-16,30,26,25,27,29,33,27,32,27,39,29,30,23,27,20,32,35
2022-12-15,33,22,31,34,25,28,26,33,27,34,33,26,21,30,23,23,33
2022-12-14,46,26,28,44,17,43,28,47,36,40,38,28,16,30,18,20,43
2022-12-13,190,109,102,187,170,92,98,169,134,74,112,161,159,93,113,111,76
2022-12-12,33,23,48,39,30,33,22,36,30,44,31,35,26,36,30,24,37
2022-12-11,43,28,33,37,34,43,29,43,32,53,40,47,28,36,28,29,46
2022-12-10,40,52,58,40,58,62,50,47,40,71,57,65,46,55,46,33,70
2022-12-09,42,41,57,45,44,51,42,47,39,51,57,51,38,45,38,26,60
2022-12-08,28,38,52,30,36,43,37,32,25,37,35,42,34,36,35,30,46
2022-12-07,33,40,50,34,40,44,44,37,34,43,49,50,34,43,36,47,46
2022-12-06,27,31,34,27,29,26,34,30,26,34,29,30,26,31,27,34,33
2022-12-05,21,13,15,22,14,21,17,22,18,24,21,17,11,17,10,17,22
2022-12-04,17,26,23,17,25,20,30,18,18,24,21,24,25,27,23,27,21
2022-12-03,36,25,36,36,28,32,28,37,28,37,38,31,20,32,27,15,38
2022-12-02,20,18,22,21,19,26,21,26,19,30,31,25,16,24,18,12,33
2022-12-01,22,13,14,23,13,19,15,24,18,21,24,17,11,16,12,11,22
