날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2023-06-30,24,5,6,22,4,5,15,18,8,9,11,5,4,9,6,9,5
2023-06-29,21,7,15,22,9,15,13,19,12,15,16,14,7,14,9,9,11
2023-06-28,21,6,8,21,6,9,11,17,11,10,12,9,6,9,7,7,7
2023-06-27,10,5,9,12,11,10,10,11,8,9,11,13,8,9,8,6,8
2023-06-26,9,5,5,13,4,5,7,8,6,6,7,5,4,7,5,5,3
2023-06-25,22,6,14,24,10,15,12,20,9,14,19,16,6,12,8,8,15
2023-06-24,25,8,11,29,12,18,10,24,6,14,22,22,9,10,9,12,19
2023-06-23,23,11,12,33,14,16,13,24,7,16,21,19,14,11,11,17,15
2023-06-22,10,14,14,13,8,13,21,11,5,14,15,13,9,12,10,11,12
2023-06-21,4,8,11,7,6,11,11,6,4,8,11,11,8,9,8,9,8
2023-06-20,20,8,10,22,15,12,9,19,10,10,19,21,12,10,11,16,10
2023-06-19,29,22,18,28,20,25,23,27,17,22,24,23,22,19,23,18,22
2023-06-18,16,21,20,16,15,19,27,17,15,19,17,17,15,20,21,15,17
2023-06-17,12,17,22,11,17,21,29,14,12,19,17,20,15,21,18,14,18
2023-06-16,16,28,20,13,16,19,32,18,15,22,18,23,15,19,22,14,18
2023-06-15,20,20,14,21,13,19,16,21,9,18,20,18,18,12,19,15,17
2023-06-14,18,19,16,18,14,15,24,20,11,19,18,17,15,16,16,12,16
2023-06-13,15,12,15,14,14,16,22,17,13,20,15,14,11,17,13,9,14
2023-06-12,17,12,12,18,12,15,19,19,11,17,18,18,9,13,10,8,16
2023-06-11,13,11,14,16,9,15,18,14,10,16,17,15,8,17,12,7,14
2023-06-10,20,16,22,21,14,16,26,20,12,15,18,17,11,23,14,10,15
2023-06-09,13,18,15,17,15,14,24,15,9,14,19,20,15,17,17,12,12
2023-06-08,11,12,15,8,9,15,18,12,18,20,9,11,8,19,12,7,11
2023-06-07,19,17,19,16,14,17,27,19,20,20,13,14,12,21,16,11,13
2023-06-06,10,12,15,10,14,13,18,11,11,15,12,13,12,15,13,9,12
2023-06-05,14,17,14,17,17,15,18,16,13,14,14,16,14,15,15,13,11
2023-06-04,18,15,11,22,15,14,17,19,11,14,17,16,12,12,13,15,12
2023-06-03,13,21,16,15,16,14,21,15,12,19,15,20,17,18,21,22,13
2023-06-02,17,16,15,16,13,18,19,19,19,28,19,17,12,18,13,13,17
2023-06-01,21,14,16,25,14,18,17,24,13,17,24,17,12,13,12,10,18
