일자,계(명),서울,부산,대구,대전,경기
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,1,1,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,1,0,0,0,0,1
2020-01-27,1,0,0,0,0,1
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,3,3,0,0,0,0
2020-01-31,3,3,0,0,0,0
2020-02-01,1,0,0,0,0,1
2020-02-02,3,1,0,0,0,2
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,4,2,0,0,0,2
2020-02-06,2,2,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,3,0,0,0,0,3
2020-02-10,1,0,0,0,0,1
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,2,2,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,2,0,0,1,0,1
2020-02-19,29,2,0,27,0,0
2020-02-20,12,0,0,12,0,0
2020-02-21,50,5,0,44,0,1
2020-02-22,74,2,2,67,1,2
2020-02-23,155,3,7,136,1,8
2020-02-24,177,4,8,152,1,12
2020-02-25,84,7,18,54,0,5
2020-02-26,208,8,13,184,0,3
2020-02-27,375,10,8,340,5,12
2020-02-28,323,7,5,296,4,11
2020-02-29,779,12,14,742,1,10
2020-03-01,532,8,4,512,0,8
2020-03-02,541,9,6,517,1,8
2020-03-03,531,7,2,520,0,2
2020-03-04,411,0,3,398,1,9
2020-03-05,339,5,0,326,1,7
2020-03-06,384,2,3,367,2,10
2020-03-07,404,3,1,390,0,10
2020-03-08,321,12,1,297,0,11
2020-03-09,212,10,0,190,0,12
2020-03-10,113,11,0,92,0,10
2020-03-11,197,53,2,131,0,11
2020-03-12,98,19,2,72,2,3
2020-03-13,84,12,1,61,2,8
2020-03-14,93,13,3,62,0,15
2020-03-15,64,9,3,41,0,11
2020-03-16,62,6,1,35,0,20
2020-03-17,75,12,0,32,0,31
2020-03-18,66,5,0,46,0,15
2020-03-19,127,12,0,97,0,18
2020-03-20,66,17,1,34,0,14
2020-03-21,96,15,0,69,0,12
2020-03-22,71,10,0,43,2,16
