일자,계(명),서울,부산,대구,대전,경기
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0
2020-02-24,1,0,0,1,0,0
2020-02-25,1,0,0,1,0,0
2020-02-26,2,0,0,1,0,1
2020-02-27,1,0,0,1,0,0
2020-02-28,1,0,0,1,0,0
2020-02-29,3,0,0,3,0,0
2020-03-01,1,0,0,1,0,0
2020-03-02,6,0,0,6,0,0
2020-03-03,5,0,0,5,0,0
2020-03-04,4,0,0,4,0,0
2020-03-05,3,0,0,3,0,0
2020-03-06,3,0,0,3,0,0
2020-03-07,1,0,0,1,0,0
2020-03-08,4,0,0,4,0,0
2020-03-09,0,0,0,0,0,0
2020-03-10,3,0,0,3,0,0
2020-03-11,6,0,0,6,0,0
2020-03-12,4,0,0,4,0,0
2020-03-13,1,0,0,0,0,1
2020-03-14,4,0,0,3,0,1
2020-03-15,3,0,1,2,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,4,0,0,4,0,0
2020-03-18,1,0,0,1,0,0
2020-03-19,7,0,0,7,0,0
2020-03-20,2,0,0,2,0,0
2020-03-21,6,0,0,6,0,0
2020-03-22,2,0,0,2,0,0
